"VersionEffective","LOINC_NUM","Property","ValuePrior","ValueCurrent","ChangeReason"
"2.82","101952-0","FORMULA","N/A","",""
"2.82","101953-8","FORMULA","N/A","",""
"2.82","101954-6","FORMULA","N/A","",""
"2.82","101955-3","FORMULA","N/A","",""
"2.82","101956-1","FORMULA","N/A","",""
"2.82","101957-9","FORMULA","N/A","",""
"2.82","101958-7","FORMULA","N/A","",""
"2.82","101959-5","FORMULA","N/A","",""
"2.82","101960-3","FORMULA","N/A","",""
"2.82","101961-1","FORMULA","N/A","",""
"2.82","101962-9","FORMULA","N/A","",""
"2.82","101963-7","FORMULA","N/A","",""
"2.82","101964-5","FORMULA","N/A","",""
"2.82","101965-2","FORMULA","N/A","",""
"2.82","101981-9","COMPONENT","Maximum clot strength amplitude.kaolin induced","Maximum clot strength amplitude",""
"2.82","101981-9","LONG_COMMON_NAME","Maximum amplitude kaolin induced [Length] in Blood by Resonance TEG","Maximum clot strength amplitude [Length] in Blood by Thromboelastography.resonance.kaolin induced",""
"2.82","101981-9","METHOD_TYP","Thromboelastography.resonance","Thromboelastography.resonance.kaolin induced",""
"2.82","101981-9","SHORTNAME","MA kaolin Bld Res TEG","Maximum clot strength amplitude Bld Thromboelastography.resonance.kaolin induced",""
"2.82","101990-0","COMPONENT","Xanthurenate","Xanthurenate/Creatinine",""
"2.82","101990-0","LONG_COMMON_NAME","Xanthurenate [Mass Ratio] in Urine","Xanthurenate/Creatinine [Mass Ratio] in Urine",""
"2.82","101990-0","SHORTNAME","Xanthuren Ur","Xanthuren/Creat Ur",""
"2.82","101991-8","COMPONENT","3-hydroxypropyl mercapturate","3-hydroxypropyl mercapturate/Creatinine",""
"2.82","101991-8","LONG_COMMON_NAME","3-hydroxypropyl mercapturate [Mass Ratio] in Urine","3-hydroxypropyl mercapturate/Creatinine [Mass Ratio] in Urine",""
"2.82","101991-8","SHORTNAME","3-HPMA Ur","3-HPMA/Creat Ur",""
"2.82","101992-6","COMPONENT","Quinolinate","Quinolinate/Creatinine",""
"2.82","101992-6","LONG_COMMON_NAME","Quinolinate [Mass Ratio] in Urine","Quinolinate/Creatinine [Mass Ratio] in Urine",""
"2.82","101992-6","SHORTNAME","Quinolinate Ur","Quinolinate/Creat Ur",""
"2.82","101993-4","COMPONENT","Kynurenate","Kynurenate/Creatinine",""
"2.82","101993-4","LONG_COMMON_NAME","Kynurenate [Mass Ratio] in Urine","Kynurenate/Creatinine [Mass Ratio] in Urine",""
"2.82","101993-4","SHORTNAME","KYN Ur","KYN/Creat Ur",""
"2.82","101997-5","COMPONENT","Clot initiation.kaolin induced","Clot initiation",""
"2.82","101997-5","METHOD_TYP","Thromboelastography","Thromboelastography.kaolin induced",""
"2.82","101998-3","COMPONENT","Clot formation.kaolin induced","Clot formation",""
"2.82","101998-3","METHOD_TYP","Thromboelastography","Thromboelastography.kaolin induced",""
"2.82","102000-7","COMPONENT","Maximum clot strength amplitude.kaolin induced","Maximum clot strength amplitude",""
"2.82","102000-7","LONG_COMMON_NAME","Maximum amplitude kaolin induced [Length] in Blood by Thromboelastography","Maximum clot strength amplitude [Length] in Blood by Thromboelastography.kaolin induced",""
"2.82","102000-7","METHOD_TYP","Thromboelastography","Thromboelastography.kaolin induced",""
"2.82","102000-7","SHORTNAME","MA kaolin Bld TEG","Maximum clot strength amplitude Bld Thromboelastography.kaolin induced",""
"2.82","102001-5","COMPONENT","Clot initiation.kaolin induced^after addition of heparinase","Clot initiation",""
"2.82","102001-5","METHOD_TYP","Thromboelastography","Thromboelastography.kaolin induced.after addition of heparinase",""
"2.82","102002-3","COMPONENT","Clot formation.kaolin induced^after addition of heparinase","Clot formation",""
"2.82","102002-3","METHOD_TYP","Thromboelastography","Thromboelastography.kaolin induced.after addition of heparinase",""
"2.82","102003-1","COMPONENT","Reduction in clot strength.kaolin induced^30M after maximum clot amplitude after addition of heparinase","Reduction in clot strength",""
"2.82","102003-1","METHOD_TYP","Thromboelastography","Thromboelastography.kaolin induced.30M after maximum clot amplitude after addition of heparinase",""
"2.82","102004-9","COMPONENT","Clot angle.kaolin induced^after addition of heparinase","Clot angle",""
"2.82","102004-9","METHOD_TYP","Thromboelastography","Thromboelastography.kaolin induced.after addition of heparinase",""
"2.82","102006-4","FORMULA","N/A","",""
"2.82","102007-2","COMPONENT","Heterophile ACTH Interpretation","ACTH heterophile Ab interference",""
"2.82","102007-2","LONG_COMMON_NAME","Heterophile ACTH Interpretation in Plasma Narrative","ACTH heterophile Ab interference [Interpretation] in Plasma Narrative",""
"2.82","102007-2","SHORTNAME","Heterophile ACTH Interpretation Plas-Imp","ACTH heterophile Ab interference Plas-Imp",""
"2.82","102030-4","FORMULA","N/A","",""
"2.82","102031-2","FORMULA","N/A","",""
"2.82","102035-3","LONG_COMMON_NAME","Anti-hypertensive and Anti-thrombotic drug [Presence] in Serum by LC/MS/MS","Screening anti-hypertensive and anti-thrombotic drugs [Presence] of Serum",""
