"RecType","LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS"
"ADD","112562-4","Pediatric intensive care unit beds","Num","Pt","Facility","Qn","Occupied","PUBLICHEALTH"
"ADD","112563-2","Pediatric inpatient beds","Num","Pt","Facility","Qn","Unoccupied.total","PUBLICHEALTH"
"ADD","112564-0","Pediatric inpatient beds","Num","Pt","Facility","Qn","Occupied.total","PUBLICHEALTH"
"ADD","112565-7","Adult observation beds","Num","Pt","Facility","Qn","Unoccupied","PUBLICHEALTH"
"ADD","112566-5","Adult observation beds","Num","Pt","Facility","Qn","Occupied","PUBLICHEALTH"
"ADD","112567-3","Adult medicine telemetry and general acute care beds","Num","Pt","Facility","Qn","Unoccupied","PUBLICHEALTH"
"ADD","112568-1","Adult medicine telemetry and general acute care beds","Num","Pt","Facility","Qn","Occupied","PUBLICHEALTH"
"ADD","112569-9","Adult progressive care unit beds","Num","Pt","Facility","Qn","Unoccupied","PUBLICHEALTH"
"ADD","112570-7","Adult progressive care unit beds","Num","Pt","Facility","Qn","Occupied","PUBLICHEALTH"
"ADD","112571-5","Adult non-intensive care unit beds","Num","Pt","Facility","Qn","Unoccupied","PUBLICHEALTH"
"ADD","112572-3","Adult non-intensive care unit beds","Num","Pt","Facility","Qn","Occupied","PUBLICHEALTH"
"ADD","112573-1","Adult intensive care unit (level of care) beds","Num","Pt","Facility","Qn","Occupied","PUBLICHEALTH"
"ADD","112574-9","Adult intensive care unit beds","Num","Pt","Facility","Qn","Unoccupied","PUBLICHEALTH"
"ADD","112575-6","Adult intensive care unit beds","Num","Pt","Facility","Qn","Occupied","PUBLICHEALTH"
"ADD","112576-4","Adult inpatient beds","Num","Pt","Facility","Qn","Unoccupied.total","PUBLICHEALTH"
"ADD","112577-2","Adult inpatient beds","Num","Pt","Facility","Qn","Occupied.total","PUBLICHEALTH"
"ADD","112578-0","All inpatient beds","Num","Pt","Facility","Qn","Unoccupied","PUBLICHEALTH"
"ADD","112579-8","All inpatient beds","Num","Pt","Facility","Qn","Occupied","PUBLICHEALTH"
"ADD","112580-6","Signature","Pn","Pt","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"ADD","112581-4","HPV 18+31+33+35 panel","-","Pt","Plas.cfDNA","-","","PANEL.MICRO"
"ADD","112582-2","Human papilloma virus 35 DNA","LnCnc","Pt","Plas.cfDNA","Qn","Probe.amp.tar","MICRO"
"ADD","112583-0","Human papilloma virus 31 DNA","LnCnc","Pt","Plas.cfDNA","Qn","Probe.amp.tar","MICRO"
"ADD","112584-8","Human papilloma virus 18 DNA","LnCnc","Pt","Plas.cfDNA","Qn","Probe.amp.tar","MICRO"
"ADD","112585-5","Human papilloma virus 33 DNA","LnCnc","Pt","Plas.cfDNA","Qn","Probe.amp.tar","MICRO"
"ADD","112586-3","Human papilloma virus 16 panel","-","Pt","Plas.cfDNA","-","","PANEL.MICRO"
"ADD","112587-1","Human papilloma virus 16 DNA","LnCnc","Pt","Plas.cfDNA","Qn","Probe.amp.tar","MICRO"
"BEFORE","12185-5","Coagulation surface induced","Time","Pt","Bld^Control","Qn","Coag","COAG"
"CHANGED","12185-5","Coagulation","Time","Pt","Bld^Control","Qn","Coag.surface induced","COAG"
"BEFORE","12332-3","Antihistamines","Prid","Pt","Urine","Nom","","DRUG/TOX"
"CHANGED","12332-3","Histamine H1 receptor antagonist","Prid","Pt","Urine","Nom","","DRUG/TOX"
"BEFORE","12438-8","Nortramadol","MCnc","Pt","Ser/Plas","Qn","","DRUG/TOX"
"CHANGED","12438-8","Desmethyltramadol metabolites","MCnc","Pt","Ser/Plas","Qn","","DRUG/TOX"
"BEFORE","12503-9","Hemoglobin.gastrointestinal^4th specimen","PrThr","Pt","Stool","Ord","","CHEM"
"CHANGED","12503-9","Hemoglobin^4th specimen","PrThr","Pt","Stool^Patient.gastrointestinal","Ord","","CHEM"
"BEFORE","12504-7","Hemoglobin.gastrointestinal^5th specimen","PrThr","Pt","Stool","Ord","","CHEM"
"CHANGED","12504-7","Hemoglobin^5th specimen","PrThr","Pt","Stool^Patient.gastrointestinal","Ord","","CHEM"
"BEFORE","13053-4","Coagulation kaolin induced","ACnc","Pt","PPP","Qn","","COAG"
"CHANGED","13053-4","Coagulation","ACnc","Pt","PPP","Qn","Coag.kaolin induced without excess phospholipids","COAG"
"BEFORE","13058-3","Coagulation surface induced^2nd specimen","Time","Pt","PPP","Qn","Coag","COAG"
"CHANGED","13058-3","Coagulation^2nd specimen","Time","Pt","PPP","Qn","Coag.surface induced","COAG"
"BEFORE","13059-1","Coagulation surface induced^3rd specimen","Time","Pt","PPP","Qn","Coag","COAG"
"CHANGED","13059-1","Coagulation^3rd specimen","Time","Pt","PPP","Qn","Coag.surface induced","COAG"
"BEFORE","13060-9","Coagulation surface induced^4th specimen","Time","Pt","PPP","Qn","Coag","COAG"
"CHANGED","13060-9","Coagulation^4th specimen","Time","Pt","PPP","Qn","Coag.surface induced","COAG"
"BEFORE","13362-9","Collection duration","Time","*","Urine","Qn","","SPEC"
"CHANGED","13362-9","Specimen collection","Time","*","Urine","Qn","","SPEC"
"BEFORE","13363-7","Collection duration","Time","*","Stool","Qn","","SPEC"
"CHANGED","13363-7","Specimen collection","Time","*","Stool","Qn","","SPEC"
"BEFORE","13488-2","Coagulation surface induced","Time","Pt","PPP^Control","Qn","Coag","COAG"
"CHANGED","13488-2","Coagulation","Time","Pt","PPP^Control","Qn","Coag.surface induced","COAG"
"BEFORE","13592-1","Platelet aggregation.XXX induced","RelACnc","Pt","PRP","Qn","","COAG"
"CHANGED","13592-1","Platelet aggregation","RelACnc","Pt","PRP","Qn","Aggregometry.XXX induced","COAG"
"BEFORE","13593-9","Platelet aggregation.prostaglandin induced","RelACnc","Pt","PRP","Qn","","COAG"
"CHANGED","13593-9","Platelet aggregation","RelACnc","Pt","PRP","Qn","Aggregometry.prostaglandin induced","COAG"
"BEFORE","14563-1","Hemoglobin.gastrointestinal^1st specimen","PrThr","Pt","Stool","Ord","","CHEM"
"CHANGED","14563-1","Hemoglobin^1st specimen","PrThr","Pt","Stool^Patient.gastrointestinal","Ord","","CHEM"
"BEFORE","14564-9","Hemoglobin.gastrointestinal^2nd specimen","PrThr","Pt","Stool","Ord","","CHEM"
"CHANGED","14564-9","Hemoglobin^2nd specimen","PrThr","Pt","Stool^Patient.gastrointestinal","Ord","","CHEM"
"BEFORE","14565-6","Hemoglobin.gastrointestinal^3rd specimen","PrThr","Pt","Stool","Ord","","CHEM"
"CHANGED","14565-6","Hemoglobin^3rd specimen","PrThr","Pt","Stool^Patient.gastrointestinal","Ord","","CHEM"
"BEFORE","14979-9","Coagulation surface induced","Time","Pt","PPP","Qn","Coag","COAG"
"CHANGED","14979-9","Coagulation","Time","Pt","PPP","Qn","Coag.surface induced","COAG"
"BEFORE","15359-3","Coagulation dilute Russell viper venom induced actual/Normal","RelTime","Pt","PPP","Qn","Coag","COAG"
"CHANGED","15359-3","Coagulation actual/normal","RelTime","Pt","PPP","Qn","Coag.dilute Russell viper venom induced","COAG"
"BEFORE","15361-9","Coagulation surface induced.factor substitution^immediately after 1:4 addition of normal plasma","Time","Pt","PPP","Qn","Coag","COAG"
"CHANGED","15361-9","Coagulation","Time","Pt","PPP","Qn","Coag.surface induced.factor substitution.immediately after 1:4 addition of normal plasma","COAG"
"BEFORE","15362-7","Coagulation surface induced.inhibitor sensitive","Time","Pt","PPP","Qn","Coag","COAG"
"CHANGED","15362-7","Coagulation","Time","Pt","PPP","Qn","Coag.surface induced.inhibitor sensitive","COAG"
"BEFORE","16563-9","Cathepsin D","SFr","Pt","Ser/Plas","Qn","","CHEM"
"CHANGED","16563-9","Cathepsin D Ag","SFr","Pt","Ser/Plas","Qn","","CHEM"
"BEFORE","16630-6","Coagulation surface induced","Time","Pt","Bld^Control","Qn","Coag.saline 1:1","COAG"
"CHANGED","16630-6","Coagulation","Time","Pt","Bld^Control","Qn","Coag.surface induced.saline 1:1","COAG"
"BEFORE","16631-4","Coagulation surface induced","Time","Pt","Bld","Qn","Coag.saline 1:1","COAG"
"CHANGED","16631-4","Coagulation","Time","Pt","Bld","Qn","Coag.surface induced.saline 1:1","COAG"
"BEFORE","17136-3","Cells.CD3+DR+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","17136-3","Cells.CD3+HLA-DR+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","17140-5","Cells.CD34+DR+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","17140-5","Cells.CD34+HLA-DR+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","18335-0","Antihistamines","PrThr","Pt","Urine","Ord","Confirm","DRUG/TOX"
"CHANGED","18335-0","Histamine H1 receptor antagonist","PrThr","Pt","Urine","Ord","Confirm","DRUG/TOX"
"BEFORE","18338-4","Nortramadol","MCnc","Pt","Urine","Qn","","DRUG/TOX"
"CHANGED","18338-4","Desmethyltramadol metabolites","MCnc","Pt","Urine","Qn","","DRUG/TOX"
"BEFORE","18339-2","Nortramadol","PrThr","Pt","Ser/Plas","Ord","Confirm","DRUG/TOX"
"CHANGED","18339-2","Desmethyltramadol metabolites","PrThr","Pt","Ser/Plas","Ord","Confirm","DRUG/TOX"
"BEFORE","18340-0","Nortramadol","MCnc","Pt","Ser/Plas","Qn","Confirm","DRUG/TOX"
"CHANGED","18340-0","Desmethyltramadol metabolites","MCnc","Pt","Ser/Plas","Qn","Confirm","DRUG/TOX"
"BEFORE","18929-0","Gentamicin.high potency","Susc","Pt","Isolate","OrdQn","","ABXBACT"
"CHANGED","18929-0","Gentamicin","Susc","Pt","Isolate","OrdQn","High potency","ABXBACT"
"BEFORE","18936-5","Kanamycin.high potency","Susc","Pt","Isolate","OrdQn","","ABXBACT"
"CHANGED","18936-5","Kanamycin","Susc","Pt","Isolate","OrdQn","High potency","ABXBACT"
"BEFORE","18983-7","Streptomycin.high potency","Susc","Pt","Isolate","OrdQn","","ABXBACT"
"CHANGED","18983-7","Streptomycin","Susc","Pt","Isolate","OrdQn","High potency","ABXBACT"
"BEFORE","19826-7","Informed consent obtained","Arb","Pt","^Patient","Ord","","ENDO.GI"
"CHANGED","19826-7","Informed consent obtained","Arb","Pt","^Patient","Ord","","ADMIN.PATIENT"
"BEFORE","20621-9","Albumin/Creatinine","PrThr","Pt","Urine","Ord","Test strip","CHEM"
"CHANGED","20621-9","Albumin/Creatinine","MRto","Pt","Urine","SemiQn","Test strip","CHEM"
"BEFORE","21032-8","Coagulation thrombin induced","Imp","Pt","Bld","Nom","","COAG"
"CHANGED","21032-8","Coagulation","Imp","Pt","Bld","Nom","Coag.thrombin induced","COAG"
"BEFORE","2334-1","Hemoglobin.gastrointestinal","PrThr","Pt","Gast fld","Ord","","CHEM"
"CHANGED","2334-1","Hemoglobin","PrThr","Pt","Gast fld^Patient.gastrointestinal","Ord","","CHEM"
"BEFORE","2335-8","Hemoglobin.gastrointestinal","PrThr","Pt","Stool","Ord","","CHEM"
"CHANGED","2335-8","Hemoglobin","PrThr","Pt","Stool^Patient.gastrointestinal","Ord","","CHEM"
"BEFORE","2341-6","Glucose","MCnc","Pt","Bld","Qn","Test strip manual","CHEM"
"CHANGED","2341-6","Glucose","MCnc","Pt","Bld","SemiQn","Test strip manual","CHEM"
"BEFORE","24377-4","Platelet aggregation.adenosine diphosphate induced","PrThr","Pt","PRP","Ord","","COAG"
"CHANGED","24377-4","Platelet aggregation interpretation","Imp","Pt","PRP","Ord","Adenosine diphosphate induced","COAG"
"BEFORE","24378-2","Platelet aggregation.EPINEPHrine induced","PrThr","Pt","PRP","Ord","","COAG"
"CHANGED","24378-2","Platelet aggregation interpretation","Imp","Pt","PRP","Ord","Epinephrine induced","COAG"
"BEFORE","24379-0","Platelet aggregation.collagen induced","PrThr","Pt","PRP","Ord","","COAG"
"CHANGED","24379-0","Platelet aggregation interpretation","Imp","Pt","PRP","Ord","Collagen induced","COAG"
"BEFORE","24380-8","Platelet aggregation.ristocetin induced","PrThr","Pt","PRP","Ord","","COAG"
"CHANGED","24380-8","Platelet aggregation interpretation","Imp","Pt","PRP","Ord","Ristocetin induced","COAG"
"BEFORE","24381-6","Platelet aggregation.arachidonate induced","PrThr","Pt","PRP","Ord","","COAG"
"CHANGED","24381-6","Platelet aggregation interpretation","Imp","Pt","PRP","Ord","Arachidonate induced","COAG"
"BEFORE","24454-1","Collection duration","Time","*","Gast fld","Qn","","SPEC"
"CHANGED","24454-1","Specimen collection","Time","*","Gast fld","Qn","","SPEC"
"BEFORE","24471-5","Platelet function.collagen+EPINEPHrine induced","Time","Pt","Bld","Qn","","COAG"
"CHANGED","24471-5","Platelet function","Time","Pt","Bld","Qn","Collagen+Epinephrine induced","COAG"
"BEFORE","24472-3","Platelet function.collagen+Adenosine diphosphate induced","Time","Pt","Bld","Qn","","COAG"
"CHANGED","24472-3","Platelet function","Time","Pt","Bld","Qn","Collagen+Adenosine diphosphate induced","COAG"
"BEFORE","25174-4","Amikacin 8.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25174-4","Amikacin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 8.0 ug/mL","ABXBACT"
"BEFORE","25175-1","Amikacin 16.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25175-1","Amikacin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 16.0 ug/mL","ABXBACT"
"BEFORE","25176-9","Amikacin 32.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25176-9","Amikacin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 32.0 ug/mL","ABXBACT"
"BEFORE","25177-7","Amikacin 12.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25177-7","Amikacin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 12.0 ug/mL","ABXBACT"
"BEFORE","25178-5","Amikacin 30.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25178-5","Amikacin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL","ABXBACT"
"BEFORE","25179-3","Amikacin 6.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25179-3","Amikacin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 6.0 ug/mL","ABXBACT"
"BEFORE","25180-1","Ciprofloxacin 2.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25180-1","Ciprofloxacin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 2.0 ug/mL","ABXBACT"
"BEFORE","25181-9","Ciprofloxacin 4.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25181-9","Ciprofloxacin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 4.0 ug/mL","ABXBACT"
"BEFORE","25182-7","Kanamycin 5.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25182-7","Kanamycin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 5.0 ug/mL","ABXBACT"
"BEFORE","25183-5","Ethionamide 11.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25183-5","Ethionamide","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 11.0 ug/mL","ABXBACT"
"BEFORE","25184-3","rifAMPin 14.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25184-3","rifAMPin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 14.0 ug/mL","ABXBACT"
"BEFORE","25185-0","Streptomycin 6.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25185-0","Streptomycin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 6.0 ug/mL","ABXBACT"
"BEFORE","25186-8","Pyrazinamide 25.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25186-8","Pyrazinamide","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 25.0 ug/mL","ABXBACT"
"BEFORE","25187-6","Ethambutol 7.5 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25187-6","Ethambutol","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 7.5 ug/mL","ABXBACT"
"BEFORE","25188-4","Ciprofloxacin 8.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25188-4","Ciprofloxacin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 8.0 ug/mL","ABXBACT"
"BEFORE","25189-2","Ciprofloxacin 5.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25189-2","Ciprofloxacin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 5.0 ug/mL","ABXBACT"
"BEFORE","25190-0","Clarithromycin 8.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25190-0","Clarithromycin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 8.0 ug/mL","ABXBACT"
"BEFORE","25191-8","Clarithromycin 16.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25191-8","Clarithromycin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 16.0 ug/mL","ABXBACT"
"BEFORE","25192-6","Clarithromycin 32.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25192-6","Clarithromycin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 32.0 ug/mL","ABXBACT"
"BEFORE","25194-2","Ethambutol 5.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25194-2","Ethambutol","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 5.0 ug/mL","ABXBACT"
"BEFORE","25195-9","Ethambutol 10.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25195-9","Ethambutol","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 10.0 ug/mL","ABXBACT"
"BEFORE","25196-7","Ethionamide 5.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25196-7","Ethionamide","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 5.0 ug/mL","ABXBACT"
"BEFORE","25198-3","Ethionamide 15.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25198-3","Ethionamide","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 15.0 ug/mL","ABXBACT"
"BEFORE","25199-1","Rifabutin 1.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25199-1","Rifabutin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 1.0 ug/mL","ABXBACT"
"BEFORE","25200-7","Rifabutin 2.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25200-7","Rifabutin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 2.0 ug/mL","ABXBACT"
"BEFORE","25201-5","Rifabutin 4.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25201-5","Rifabutin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 4.0 ug/mL","ABXBACT"
"BEFORE","25202-3","rifAMPin 1.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25202-3","rifAMPin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 1.0 ug/mL","ABXBACT"
"BEFORE","25203-1","rifAMPin 2.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25203-1","rifAMPin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 2.0 ug/mL","ABXBACT"
"BEFORE","25204-9","rifAMPin 5.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25204-9","rifAMPin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 5.0 ug/mL","ABXBACT"
"BEFORE","25205-6","Streptomycin 2.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25205-6","Streptomycin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 2.0 ug/mL","ABXBACT"
"BEFORE","25206-4","Streptomycin 10.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25206-4","Streptomycin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 10.0 ug/mL","ABXBACT"
"BEFORE","25207-2","cycloSERINE 10.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25207-2","cycloSERINE","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 10.0 ug/mL","ABXBACT"
"BEFORE","25208-0","cycloSERINE 20.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25208-0","cycloSERINE","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 20.0 ug/m","ABXBACT"
"BEFORE","25209-8","cycloSERINE 30.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25209-8","cycloSERINE","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL","ABXBACT"
"BEFORE","25210-6","Capreomycin 10.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25210-6","Capreomycin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 10.0 ug/mL","ABXBACT"
"BEFORE","25211-4","Capreomycin 20.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25211-4","Capreomycin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 20.0 ug/m","ABXBACT"
"BEFORE","25212-2","Capreomycin 30.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25212-2","Capreomycin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL","ABXBACT"
"BEFORE","25213-0","Kanamycin 6.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25213-0","Kanamycin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 6.0 ug/mL","ABXBACT"
"BEFORE","25214-8","Kanamycin 30.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25214-8","Kanamycin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL","ABXBACT"
"BEFORE","25215-5","Para aminosalicylate 2.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25215-5","Para aminosalicylate","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 2.0 ug/mL","ABXBACT"
"BEFORE","25216-3","Para aminosalicylate 8.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25216-3","Para aminosalicylate","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 8.0 ug/mL","ABXBACT"
"BEFORE","25217-1","Isoniazid 0.1 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25217-1","Isoniazid","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 0.1 ug/mL","ABXBACT"
"BEFORE","25218-9","Isoniazid 0.2 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25218-9","Isoniazid","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 0.2 ug/mL","ABXBACT"
"BEFORE","25219-7","Isoniazid 1.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25219-7","Isoniazid","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 1.0 ug/mL","ABXBACT"
"BEFORE","25220-5","cefOXitin 30.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25220-5","cefOXitin","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL","ABXBACT"
"BEFORE","25221-3","Imipenem 10.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25221-3","Imipenem","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 10.0 ug/mL","ABXBACT"
"BEFORE","25222-1","Cefmetazole 30.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
"CHANGED","25222-1","Cefmetazole","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria.antibiotic concentration at 30.0 ug/mL","ABXBACT"
"BEFORE","25223-9","Doxycycline 30.0 ug/mL","Susc","Pt","Isolate","OrdQn","Method for Slow-growing mycobacteria","ABXBACT"
