"RecType","LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS"
"BEFORE","105268-7","Clindamycin.induced","Susc","Pt","Isolate","OrdQn","MIC","ABXBACT"
"CHANGED","105268-7","Clindamycin","Susc","Pt","Isolate","OrdQn","MIC.erythromycin induced resistance","ABXBACT"
"BEFORE","105271-1","Platelet aggregation.collagen induced^190 ug/mL","RelACnc","Pt","PRP","Qn","","COAG"
"CHANGED","105271-1","Platelet aggregation","RelACnc","Pt","PRP","Qn","Aggregometry.collagen induced.190 ug/mL","COAG"
"ADD","105445-1","T-score 65-69 = borderline clinical range","Tscore","Pt","^Patient","Qn","","CLIN.RISK"
"BEFORE","105752-0","Reduction in clot strength.kaolin induced^30M after maximum clot amplitude post heparin neutralization","LenFr","Pt","Bld","Qn","Thromboelastography.resonance","COAG"
"CHANGED","105752-0","Reduction in clot strength^30M after maximum clot amplitude","LenFr","Pt","Bld","Qn","Thromboelastography.resonance.kaolin induced.post heparin neutralization","COAG"
"BEFORE","105753-8","Maximum clot strength amplitude.kaolin+tissue factor induced^post heparin neutralization","Len","Pt","Bld","Qn","Thromboelastography.resonance","COAG"
"CHANGED","105753-8","Maximum clot strength amplitude","Len","Pt","Bld","Qn","Thromboelastography.resonance.kaolin.tissue factor induced.post heparin neutralization","COAG"
"BEFORE","105754-6","Maximum clot strength amplitude.tissue factor induced+platelet glycoprotein IIb-IIIa receptor inhibited^post heparin neutralization","Len","Pt","Bld","Qn","Thromboelastography.resonance","COAG"
"CHANGED","105754-6","Maximum clot strength amplitude","Len","Pt","Bld","Qn","Thromboelastography.resonance.tissue factor induced with platelet glycoprotein IIb-IIIa receptor inhibited.post heparin neutralization","COAG"
"BEFORE","106041-7","Fungus","Prid","Pt","Ear","Nom","Culture","MICRO"
"CHANGED","106041-7","Fungus","Prid","Pt","Ear fluid","Nom","Culture","MICRO"
"ADD","106316-3","Guidance for excision.vacuum","Find","Pt","Breast.left","Doc","US","RAD"
"ADD","106317-1","Guidance for excision.vacuum","Find","Pt","Breast.right","Doc","US","RAD"
"BEFORE","106344-5","Mean score","Score","Pt","^Patient","Nar","","PATIENT SAFETY"
"CHANGED","106344-5","Mean score","Score","Pt","^Patient","Qn","","PATIENT SAFETY"
"BEFORE","106423-7","6-item Transportation Security Index","-","RptPeriod","^Patient","-","TSI-6","PANEL.SURVEY.SDOH"
"CHANGED","106423-7","6-item Transportation Security Index","-","30D","^Patient","-","TSI-6","PANEL.SURVEY.SDOH"
"BEFORE","106507-7","California encephalitis virus Ab.IgG & IgM","Find","Pt","CSF","Ord","IF","MICRO"
"CHANGED","106507-7","California encephalitis virus Ab.IgG & IgM","Imp","Pt","CSF","Ord","IF","MICRO"
"ADD","106822-0","Guidance for adjustment gastric banding","Find","Pt","Abdomen>Stomach","Doc","RF","RAD"
"ADD","106827-9","Guidance for subtraction imaging","Find","Pt","Head>Cerebral vessels","Doc","RF.angio","RAD"
"ADD","106829-5","Guidance for orthopaedic pinning","Find","Pt","Lower extremity.bilateral","Doc","RF","RAD"
"ADD","106830-3","Guidance for orthopaedic pinning","Find","Pt","Lower extremity.left","Doc","RF","RAD"
"ADD","106831-1","Guidance for orthopaedic pinning","Find","Pt","Lower extremity.right","Doc","RF","RAD"
"ADD","106832-9","Guidance for orthopaedic pinning","Find","Pt","Upper extremity.bilateral","Doc","RF","RAD"
"ADD","106833-7","Guidance for orthopaedic pinning","Find","Pt","Upper extremity.left","Doc","RF","RAD"
"ADD","106834-5","Guidance for orthopaedic pinning","Find","Pt","Upper extremity.right","Doc","RF","RAD"
"ADD","106839-4","Guidance for hydrodistention","Find","Pt","Upper extremity.right>Shoulder.glenohumeral joint","Doc","RF","RAD"
